sentence_id	sentence	label
MIS_702-curl_03_010	"وحتى الآن هذا العام، كانت الشمس ""فارغة"" مع عدم وجود بقع شمسية 76% من الوقت، وهو معدل تم تجاوزه مرة واحدة فقط في عصر الفضاء - في العام الماضي، عندما كانت 77% فارغة."	OBJ
MIS_560-curl_04_005	"وكان أفيخاي قد نشر تدوينة بشأن مسلسل النهاية قائلا فيها: ""ما موقفي من مسلسل ⁧‫النهاية‬⁩ الرمضاني؟ فهذا المسلسل لا يستحق التعليق."	OBJ
MIS_2265-eurl_03_022	وجاء في خطاب ممثل بوليساريو أحمد بخاري يوم الاثنين أن ما يزيد على 36 صحراويا قتلوا واعتقل 163.	OBJ
FAT_1139-eurl_01_023	4 أسئلة ينبغي طرحها قبل تصديق المعلومة	OBJ
MIS_427-curl_06_004	وذكر مجاهد أن الوزيرة محملة خلال تلك الزيارة برسالة مواساة وتعازي من الرئيس عبدالفتاح السيسي لأصدقائنا من الشعب الإيطالي في وفاة ضحايا ڤيروس كورونا المستجد، بالإضافة إلى مساندة المصابين.	SUBJ
MIS_973-curl_02_005	لكن موقع التواصل الاجتماعى رأى أن الإعلان يمثل انتهاكا لسياسته الخاصة برفض الكراهية.	OBJ
MIS_2255-eurl_02_002	"تم تشييع جثمان اللاعب الأرجنتيني السابق دييغو مارادونا مساء الخميس في مقبرة بيلا فيستا بضواحي بوينس آيرس، عقب مراسم تأبين مهيبة انتهت باشتباكات بين جماهير غاضبة لعدم تمكنها من إلقاء النظرة الأخيرة على ""الفتى الذهبي"" والشرطة."	SUBJ
MIS_432-curl_02_007	وكما هو معلوم فوجود الأوزون يحمي الحياة على الأرض من الأشعة فوق البنفسجية المنبعثة من الشمس.	OBJ
MIS_2255-eurl_02_014	وبموازاة مراسم وداعه في بوينس آيرس، خيم الحزن على مدينة نابولي التي جاء إليها بعد رحلة قصيرة وجدلية مع برشلونة فوضع فريقها على قمة الدوري الإيطالي.	OBJ
MIS_19-curl_03_005	وستكون مدة العاصفة حوالى ستة أيام، وخلال ذلك يجب على الأشخاص الذين يعانون من الحساسية، الامتناع عن بذل جهد بدنى مفرط.	OBJ
AFP_903-curl_04_001	عقد زواج رئيس وزراء لوكسمبورغ كزافيه بيتيل على صديقه غوتيه دستيناي الجمعة، وقد حضر الاحتفال رئيس وزراء بلجيكا الليبرالي شارل ميشال.	OBJ
MIS_1049-curl_03_010	لا تبدو سيطرة الدول الاسكندنافية على رأس القائمة مفاجئة، بل وفقاً لأحدث البيانات فإن بعض أسوأ البلدان بالنسبة للنساء قد حققت مكاسب.	OBJ
MIS_230-curl_05_011	غسل اليدين بصفة متكررة بالماء والصابون أو بمطهر يحتوي على كحول.	OBJ
MIS_1532-eurl_01_045	وبعد شد وجذب، وافق المجلس الوطني على برنامج النقاط العشر الذي يشير بخجل إلى قبول«م.ت.ف» بحل سياسي تقيم بموجبه «م.ت.ف» سلطتها الوطنية على جزء من الأرض الفلسطينية تنسحب عنه إسرائيل.	SUBJ
MIS_560-curl_04_015	كلها تتحدث عن إسرائيل وموقعها العالمي والاقتصادي والتنموي والعسكري.	SUBJ
MIS_1503-curl_03_003	"واستقر نادى برشلونة الإسبانى على تعيين رونالد كومان مدرب منتخب هولندا لخلافة كيكي سيتين حسبما ذكرت صحيفة ""موندو ديبورتيفو"" الكتالونية، فإن كومان هو المرشح الأوفر حظاً لتولى تدريب برشلونة خلفاً لكيكى سيتين، حيث أجرى بارتوميو رئيس النادى مكالمة هاتفية بمدرب الطواحين وتوصل الطرفان إلى اتفاق مبدئى."	OBJ
MIS_1-curl_06_003	أيسلندا تمنح 5000 دولار شهرياً لكل مهاجر يتزوج من بنات أيسلندا لزياده النسل” وجالنا كتير من الرسائل علي الصفحة بتسألنا عن الموضوع ده”.	OBJ
MIS_22-curl_01_012	ورصد موقع التواصل الاجتماعي العملاق في الآونة الأخيرة مثل هذه الحسابات بعد تعرضه لانتقادات في السنوات القليلة الماضية لاعترافه بالتباطؤ في تطوير أدوات لمكافحة المحتوى المتطرف وعمليات الدعاية.	OBJ
MIS_2941-eurl_02_027	يشير الوضع الحالي والخلاف بين العواصم الأوروبية إلى مدى ضعف الرغبة في التعاون والتنسيق بينها، وغياب سلطة المفوضية الأوروبية.	SUBJ
