sentence_id	label	solved_conflict	sentence	word_count	label_encoded	sentence_length	avg_tfidf	cluster	pos_tags	pos_sequence	cleaned_sentence	processed_sentence	Assigned_Topic	Topic_Label	sentiment
b9e1635a-72aa-467f-86d6-f56ef09f62c3	SUBJ	True	['go', 'day', 'lead', 'world', 'recessionbuste']	5	1	5	0.0006838303922077514	2	['VERB', 'NOUN', 'VERB', 'NOUN', 'NOUN']	VERB NOUN VERB NOUN NOUN	['go', 'day', 'lead', 'world', 'recessionbuste']	go day lead world recessionbuste	0	OBJ	0.0
f99b5143-70d2-494a-a2f5-c68f10d09d0a	OBJ	False	['trend', 'expect', 'reverse', 'soon', 'month']	5	0	5	0.0006875520437186879	2	['NOUN', 'VERB', 'VERB', 'ADV', 'NOUN']	NOUN VERB VERB ADV NOUN	['trend', 'expect', 'reverse', 'soon', 'month']	trend expect reverse soon month	0	OBJ	0.0
4076639c-aa56-4202-ae0f-9d9217f8da68	OBJ	False	['specious', 'point']	2	0	2	0.0004309135503626735	2	['ADJ', 'NOUN']	ADJ NOUN	['specious', 'point']	specious point	1	SUBJ	0.0
b057c366-698e-419d-a284-9b16d835c64e	OBJ	False	['add', 'not', 'surprised', 'new', 'variant', 'altogether', 'fall']	7	0	7	0.0008031216882665338	3	['VERB', 'PART', 'ADJ', 'ADJ', 'NOUN', 'ADV', 'VERB']	VERB PART ADJ ADJ NOUN ADV VERB	['add', 'not', 'surprised', 'new', 'variant', 'altogether', 'fall']	add not surprised new variant altogether fall	0	OBJ	0.043181818181818175
a5a9645e-7850-41ba-90a2-5def725cd5b8	SUBJ	False	['government', 'government', 'money']	3	1	3	0.000435548080042391	1	['NOUN', 'NOUN', 'NOUN']	NOUN NOUN NOUN	['government', 'government', 'money']	government government money	1	SUBJ	0.0
11c50742-4455-4653-bf9d-4810968d3ee1	SUBJ	False	['express', 'timid', 'doubt', 'necessity', 'project', 'expense', 'booster', 'argue', 'public', 'demand', 'matter', 'fact', 'originate', 'scheme', 'taxbooste', 'influence', 'emanate', 'capita', 'model', 'standard']	20	1	20	0.0013746334723218404	2	['VERB', 'ADJ', 'NOUN', 'NOUN', 'NOUN', 'NOUN', 'NOUN', 'VERB', 'ADJ', 'NOUN', 'VERB', 'NOUN', 'VERB', 'NOUN', 'NOUN', 'NOUN', 'VERB', 'NOUN', 'NOUN', 'NOUN']	VERB ADJ NOUN NOUN NOUN NOUN NOUN VERB ADJ NOUN VERB NOUN VERB NOUN NOUN NOUN VERB NOUN NOUN NOUN	['express', 'timid', 'doubt', 'necessity', 'project', 'expense', 'booster', 'argue', 'public', 'demand', 'matter', 'fact', 'originate', 'scheme', 'taxbooste', 'influence', 'emanate', 'capita', 'model', 'standard']	express timid doubt necessity project expense booster argue public demand matter fact originate scheme taxbooste influence emanate capita model standard	1	SUBJ	0.0
f593462a-6e47-43c8-a348-b95196c07f6d	OBJ	False	['state', 'shortage', 'far', 'difficult', 'find', 'teacher', 'math', 'science', 'special', 'education', 'class']	11	0	11	0.0010092558964132322	2	['NOUN', 'NOUN', 'ADV', 'ADJ', 'VERB', 'NOUN', 'NOUN', 'NOUN', 'ADJ', 'NOUN', 'NOUN']	NOUN NOUN ADV ADJ VERB NOUN NOUN NOUN ADJ NOUN NOUN	['state', 'shortage', 'far', 'difficult', 'find', 'teacher', 'math', 'science', 'special', 'education', 'class']	state shortage far difficult find teacher math science special education class	1	SUBJ	-0.01428571428571429
1520bc61-8bc1-4e99-b4dd-4eeb15e164e7	OBJ	False	['little', 'substance', 'serbia', 'lgbtq', 'people']	5	0	5	0.0006841622233390473	2	['ADJ', 'NOUN', 'PROPN', 'NOUN', 'NOUN']	ADJ NOUN PROPN NOUN NOUN	['little', 'substance', 'serbia', 'lgbtq', 'people']	little substance serbia lgbtq people	0	OBJ	-0.1875
277c37a4-5bc1-4296-bf50-6ee4780a4e51	OBJ	False	['mean', 'time', 'uk', 'right', 'develop', 'land', 'public', 'matter', 'confer', 'private', 'ownership']	11	0	11	0.0010134718992270246	2	['ADJ', 'NOUN', 'PROPN', 'ADV', 'VERB', 'NOUN', 'ADJ', 'NOUN', 'VERB', 'ADJ', 'NOUN']	ADJ NOUN PROPN ADV VERB NOUN ADJ NOUN VERB ADJ NOUN	['mean', 'time', 'uk', 'right', 'develop', 'land', 'public', 'matter', 'confer', 'private', 'ownership']	mean time uk right develop land public matter confer private ownership	1	SUBJ	-0.006696428571428575
23f74706-0556-4eeb-90c1-041da0d8bcd0	OBJ	False	['marko', 'mihailovi', '29yearold', 'figurehead', 'belgrade', 'pride', 'lead', 'city', 'win', 'bid']	10	0	10	0.0009670732080277323	4	['NOUN', 'NOUN', 'NUM', 'NOUN', 'PROPN', 'PROPN', 'NOUN', 'NOUN', 'NOUN', 'VERB']	NOUN NOUN NUM NOUN PROPN PROPN NOUN NOUN NOUN VERB	['marko', 'mihailovi', '29yearold', 'figurehead', 'belgrade', 'pride', 'lead', 'city', 'win', 'bid']	marko mihailovi 29yearold figurehead belgrade pride lead city win bid	1	SUBJ	0.8
