sentence_id	label	solved_conflict	sentence_tokens_no_stop_lemmatized
b9e1635a-72aa-467f-86d6-f56ef09f62c3	SUBJ	True	['go', 'day', 'lead', 'world', 'recessionbuste']
f99b5143-70d2-494a-a2f5-c68f10d09d0a	OBJ	False	['trend', 'expect', 'reverse', 'soon', 'month']
4076639c-aa56-4202-ae0f-9d9217f8da68	OBJ	False	['specious', 'point']
b057c366-698e-419d-a284-9b16d835c64e	OBJ	False	['add', 'not', 'surprised', 'new', 'variant', 'altogether', 'fall']
a5a9645e-7850-41ba-90a2-5def725cd5b8	SUBJ	False	['government', 'government', 'money']
11c50742-4455-4653-bf9d-4810968d3ee1	SUBJ	False	['express', 'timid', 'doubt', 'necessity', 'project', 'expense', 'booster', 'argue', 'public', 'demand', 'matter', 'fact', 'originate', 'scheme', 'taxbooste', 'influence', 'emanate', 'capita', 'model', 'standard']
f593462a-6e47-43c8-a348-b95196c07f6d	OBJ	False	['state', 'shortage', 'far', 'difficult', 'find', 'teacher', 'math', 'science', 'special', 'education', 'class']
1520bc61-8bc1-4e99-b4dd-4eeb15e164e7	OBJ	False	['little', 'substance', 'serbia', 'lgbtq', 'people']
277c37a4-5bc1-4296-bf50-6ee4780a4e51	OBJ	False	['mean', 'time', 'uk', 'right', 'develop', 'land', 'public', 'matter', 'confer', 'private', 'ownership']
23f74706-0556-4eeb-90c1-041da0d8bcd0	OBJ	False	['marko', 'mihailovi', '29yearold', 'figurehead', 'belgrade', 'pride', 'lead', 'city', 'win', 'bid']
a2140c86-b140-474f-8902-0f5c19b76338	SUBJ	False	['consolidate', 'power', 'hand', 'government', 'expect', 'situation', 'push', 'hard']
7d348c76-ca27-416a-a0b8-32975447061c	OBJ	False	['drown']
dd5a54ff-aeca-4b1a-9ec5-9abb81e806aa	OBJ	False	['poorhouse', 'municipal', 'colony', 'govern', 'idea', 'say', 'magazine', 'new', 'jersey', 'league', 'municipality', 'refuge', 'unfortunate', 'differ', 'people', 'home', 'large', 'facility', 'great', 'number', 'inhabitant']
cfc26110-2ffb-4310-bbe2-9ff5cd865429	SUBJ	False	['limit', 'focus', 'corporate', 'board', 'shareholder', 'financial', 'interest', 'corporate', 'law', 'intend', 'confine', 'sphere', 'influence', 'corporation', 'mean', 'protect', 'democracy', 'civic', 'institution', 'corporate', 'overreachjust', 'society', 'confer', 'certain', 'legal', 'advantage', 'nonprofit', 'corporation', 'return', 'confine', 'activity', 'sphere', 'charitable', 'cause']
119313dc-9bf0-434b-8b5a-5c1f6510552c	SUBJ	True	['mean', 'tax', 'mindful', 'wealth', 'favor', 'increase', 'popular', 'taxis', 'aid', 'defective', 'child']
ce81586b-3914-4d6e-811b-084e499f3eb1	OBJ	False	['analyst', 'expect', 'require']
